Frame,RGB Detections,Simulated Thermal Detections,Combined (OR)
0,3,0,3
1,3,1,3
2,3,1,3
3,3,1,3
4,3,1,3
5,3,1,3
6,3,0,3
7,3,0,3
8,3,0,3
9,3,0,3
10,2,0,2
11,2,1,2
12,2,1,2
13,2,1,2
14,3,0,3
15,3,2,3
16,3,2,3
17,3,1,3
18,1,1,1
19,2,2,2
20,2,1,2
21,1,1,1
22,2,1,2
23,2,1,2
24,2,1,2
25,2,1,2
26,2,2,2
27,2,1,2
28,2,2,2
29,2,1,2
30,2,2,2
31,2,1,2
32,1,1,1
33,2,1,2
34,2,1,2
35,2,2,2
36,2,1,2
37,2,0,2
38,2,1,2
39,2,2,2
40,2,2,2
41,2,2,2
42,3,2,3
43,3,3,3
44,3,2,3
45,3,1,3
46,2,1,2
47,3,1,3
48,2,1,2
49,3,1,3
50,4,1,4
51,2,2,2
52,3,1,3
53,2,1,2
54,2,0,2
55,2,1,2
56,2,2,2
57,1,2,2
58,2,2,2
59,2,1,2
60,2,1,2
61,2,1,2
62,2,1,2
63,2,2,2
64,3,2,3
65,3,2,3
66,3,1,3
67,2,2,2
68,2,1,2
69,2,2,2
70,2,1,2
71,3,2,3
72,3,2,3
73,2,1,2
74,2,2,2
75,2,2,2
76,2,2,2
77,2,1,2
78,2,1,2
79,2,2,2
80,2,2,2
81,2,1,2
82,2,1,2
83,2,1,2
84,2,1,2
85,2,2,2
86,2,2,2
87,3,2,3
88,2,1,2
89,3,1,3
90,3,1,3
91,2,1,2
92,2,1,2
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,0,1
98,1,0,1
99,1,0,1
100,1,1,1
101,1,0,1
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,1,1,1
110,2,0,2
111,2,0,2
112,2,1,2
113,1,0,1
114,1,2,2
115,1,0,1
116,2,1,2
117,1,0,1
118,1,0,1
119,2,0,2
120,1,1,1
121,2,1,2
122,1,1,1
123,1,1,1
124,1,2,2
125,1,0,1
126,1,1,1
127,1,0,1
128,1,1,1
129,1,1,1
130,1,0,1
131,1,0,1
132,1,0,1
133,1,1,1
134,1,1,1
135,2,1,2
136,1,1,1
137,2,1,2
138,1,1,1
139,1,1,1
140,2,1,2
141,2,1,2
142,2,1,2
143,2,1,2
144,2,1,2
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,0,1
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,1,1,1
156,1,1,1
157,1,1,1
158,1,2,2
159,2,1,2
160,2,1,2
161,1,1,1
162,2,1,2
163,2,1,2
164,2,1,2
165,2,1,2
166,2,1,2
167,2,1,2
168,2,1,2
169,2,1,2
170,2,1,2
171,2,1,2
172,2,1,2
173,3,1,3
174,3,1,3
175,3,1,3
176,4,1,4
177,3,1,3
178,3,0,3
179,3,0,3
180,2,0,2
181,2,0,2
182,1,0,1
183,1,0,1
184,2,0,2
185,1,0,1
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,1,0,1
199,1,0,1
200,0,0,0
201,1,0,1
202,1,0,1
203,1,0,1
204,2,0,2
205,3,0,3
206,4,1,4
207,4,0,4
208,4,1,4
209,4,1,4
210,4,0,4
211,3,1,3
212,3,1,3
213,3,1,3
214,3,0,3
215,3,0,3
216,3,0,3
217,3,0,3
218,3,0,3
219,3,0,3
220,2,1,2
221,2,1,2
222,2,1,2
223,2,1,2
224,2,0,2
225,2,0,2
226,2,0,2
227,2,1,2
228,2,0,2
229,1,1,1
230,1,0,1
231,1,1,1
232,2,0,2
233,1,0,1
234,1,0,1
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,1,0,1
250,1,0,1
251,1,0,1
252,1,0,1
253,1,0,1
254,0,0,0
255,0,0,0
256,0,0,0
257,1,0,1
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,1,0,1
263,1,0,1
264,1,0,1
