Frame,RGB Detections,Simulated Thermal Detections,Combined (OR)
0,2,0,2
1,3,0,3
2,4,0,4
3,4,0,4
4,3,0,3
5,4,0,4
6,4,0,4
7,4,0,4
8,3,0,3
9,2,0,2
10,2,0,2
11,4,0,4
12,2,0,2
13,1,0,1
14,3,0,3
15,1,0,1
16,3,0,3
17,3,0,3
18,2,0,2
19,1,0,1
20,3,0,3
21,2,0,2
22,2,0,2
23,3,0,3
24,2,0,2
25,2,0,2
26,3,0,3
27,2,0,2
28,2,0,2
29,2,0,2
30,2,0,2
31,2,0,2
32,3,0,3
33,2,0,2
34,2,0,2
35,2,0,2
36,1,0,1
37,1,0,1
38,1,0,1
39,1,0,1
40,1,0,1
41,1,0,1
42,1,0,1
43,1,0,1
44,2,0,2
45,1,0,1
46,1,0,1
47,1,0,1
48,1,0,1
49,1,0,1
50,1,0,1
51,1,0,1
52,1,0,1
53,1,0,1
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,1,0,1
61,1,0,1
62,0,0,0
63,1,0,1
64,0,0,0
65,1,0,1
66,1,0,1
67,0,0,0
68,0,0,0
69,1,0,1
70,1,0,1
71,1,0,1
72,1,0,1
73,1,0,1
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,1,0,1
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,1,0,1
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,1,0,1
102,2,0,2
103,2,0,2
104,3,0,3
105,2,0,2
106,4,0,4
107,3,0,3
108,4,0,4
109,4,0,4
110,3,0,3
111,3,0,3
112,5,0,5
113,4,0,4
114,4,0,4
115,3,0,3
116,4,0,4
117,4,0,4
118,3,0,3
119,3,0,3
120,4,0,4
121,3,0,3
122,3,0,3
123,3,0,3
124,3,0,3
125,3,0,3
126,3,0,3
127,3,0,3
128,2,0,2
129,4,0,4
130,4,0,4
131,4,0,4
132,4,0,4
133,3,0,3
134,4,0,4
135,4,0,4
136,2,0,2
137,2,0,2
138,3,0,3
139,3,0,3
140,3,0,3
141,2,0,2
142,3,0,3
143,2,0,2
144,2,0,2
145,2,0,2
146,2,0,2
147,3,0,3
148,3,0,3
149,2,0,2
150,2,0,2
151,2,0,2
152,3,0,3
153,4,0,4
154,3,0,3
155,2,0,2
156,4,1,4
157,4,1,4
158,4,0,4
159,4,0,4
160,4,0,4
161,4,0,4
162,4,0,4
163,5,0,5
164,5,0,5
165,3,0,3
166,3,0,3
167,3,0,3
168,3,0,3
169,2,0,2
170,2,0,2
171,2,0,2
172,2,0,2
173,3,0,3
174,3,0,3
175,3,0,3
176,4,0,4
177,4,0,4
178,4,0,4
179,4,0,4
180,4,0,4
181,4,0,4
182,3,0,3
183,4,0,4
184,3,0,3
185,3,0,3
186,3,0,3
187,3,0,3
188,4,0,4
189,3,0,3
190,2,0,2
191,2,0,2
192,2,0,2
193,1,0,1
194,1,0,1
195,0,0,0
196,1,0,1
197,1,0,1
198,1,0,1
199,1,0,1
200,1,0,1
201,0,0,0
202,0,0,0
203,0,0,0
204,1,0,1
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,1,0,1
210,2,0,2
211,0,0,0
212,1,0,1
213,0,0,0
214,3,0,3
215,1,0,1
216,2,0,2
217,1,0,1
218,1,0,1
219,2,0,2
220,4,0,4
221,3,0,3
222,3,0,3
223,4,0,4
224,3,0,3
225,3,0,3
226,3,0,3
227,3,0,3
228,4,0,4
229,3,0,3
230,3,0,3
231,4,0,4
232,3,0,3
233,4,0,4
234,5,0,5
235,5,0,5
236,5,0,5
237,5,0,5
238,4,0,4
239,4,0,4
240,4,0,4
241,4,0,4
242,3,0,3
243,3,0,3
244,1,0,1
245,1,0,1
246,1,0,1
247,1,0,1
248,1,0,1
249,1,0,1
250,1,0,1
251,3,0,3
252,3,0,3
253,2,0,2
254,4,0,4
255,4,0,4
256,4,0,4
257,3,0,3
258,5,0,5
259,4,0,4
260,5,0,5
261,5,0,5
262,5,0,5
263,4,0,4
264,4,0,4
265,4,0,4
266,5,0,5
267,3,0,3
268,3,0,3
269,3,0,3
270,5,0,5
271,5,0,5
272,5,0,5
273,5,0,5
274,5,0,5
275,5,0,5
276,5,0,5
277,5,0,5
278,6,0,6
279,5,0,5
280,5,0,5
281,7,0,7
282,7,0,7
283,7,0,7
284,5,0,5
285,5,0,5
286,5,0,5
287,3,0,3
288,4,0,4
289,6,0,6
290,5,0,5
291,7,0,7
292,8,0,8
293,8,1,8
294,8,0,8
295,7,1,7
296,6,0,6
297,6,0,6
298,6,0,6
299,5,0,5
300,6,0,6
301,6,0,6
302,6,0,6
303,7,0,7
304,6,0,6
305,6,0,6
306,7,0,7
307,7,0,7
308,7,0,7
309,7,0,7
310,8,0,8
311,8,0,8
312,7,0,7
313,7,0,7
314,8,0,8
315,8,0,8
316,9,0,9
317,9,0,9
318,7,0,7
319,9,0,9
320,9,1,9
321,8,1,8
322,8,1,8
323,7,1,7
324,7,0,7
325,8,0,8
326,9,0,9
327,7,0,7
328,7,0,7
329,8,0,8
330,9,0,9
331,9,0,9
332,6,0,6
333,9,1,9
334,7,1,7
335,6,0,6
336,6,1,6
337,8,0,8
338,6,0,6
339,7,0,7
340,7,0,7
341,6,1,6
342,9,0,9
343,7,0,7
344,8,0,8
345,7,0,7
346,8,0,8
347,7,0,7
348,8,0,8
349,7,0,7
